year,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout
2025,95000,16486.578501263888,19,4,272832379.7876532
2030,95000,7802.081426515495,19,3,133914691.16582796
2040,95000,0.0,19,0,0.0
2050,95000,0.0,19,0,0.0
