dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,591,1.1421614100185529
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,1104,2.1335807050092765
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,1,1.3157894736842104
branch_flow_new_duals_max,89376,9703,10.856382026494808
branch_flow_new_duals_min,89376,34477,38.575232724668815
branch_flow_old_duals_max,89376,9687,10.838480128893663
branch_flow_old_duals_min,89376,34458,38.55397422126746
emissions_duals,7,0,0.0
gen_extension_duals,204,33,16.176470588235293
gen_output_new_duals,239904,147418,61.44874616513272
gen_output_old_duals,239904,147411,61.44582833133253
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
